protein_group	eggnog_annot	diamond_annot	annotation	eggnog_proteins_annot	diamond_proteins_annot	organism_eggnog	organism_diamond	go_annotation	upd_full_annot
TRINITY_DN21920_c0_g1_i2.p1_Eve;TRINITY_DN2602_c0_g1_i5.p1_Ecy;TRINITY_DN2602_c0_g1_i2.p1_Ecy	LACTB2	PREDICTED: beta-lactamase-like protein 2	LACTB2	LACTB2:3	PREDICTED: beta-lactamase-like protein 2:3	Actinopterygii;Insecta	Arthropoda	LACTB2	LACTB2
TRINITY_DN21930_c0_g2_i1.p1_Ecy;TRINITY_DN70787_c0_g1_i2.p1_Eve;NODE_407_length_8190_cov_56.709249_g253_i0.p2_Eve;TRINITY_DN70787_c0_g2_i2.p1_Eve;NODE_407_length_8190_cov_56.709249_g253_i0.p1_Eve;TRINITY_DN218834_c0_g2_i1.p1_Gla	PSME4	PREDICTED: proteasome activator complex subunit 4A-like isoform X2	PSME4	PSME4:2	PREDICTED: proteasome activator complex subunit 4A-like isoform X2:4;Proteasome activator Blm10 mid region:2	Mammalia;Arthropoda	Arthropoda	PSME4	PSME4
TRINITY_DN22026_c1_g1_i4.p1_Ecy;TRINITY_DN5991_c0_g2_i2.p1_Eve;TRINITY_DN10409_c1_g1_i6.p1_Gla	Rpn9	PREDICTED: 26S proteasome non-ATPase regulatory subunit 13-like	Rpn9	PSMD13:1;Rpn9:2	PREDICTED: 26S proteasome non-ATPase regulatory subunit 13-like:3	Insecta	Arthropoda	Rpn9	Rpn9
TRINITY_DN7674_c2_g1_i1.p1_Ecy;TRINITY_DN250406_c0_g1_i1.p1_Eve;TRINITY_DN22061_c0_g1_i1.p1_Gla	VPS37B	PREDICTED: vacuolar protein sorting-associated protein 37B-like	VPS37B	VPS37B:1	PREDICTED: vacuolar protein sorting-associated protein 37B-like:3	Hymenoptera	Arthropoda	VPS37B	VPS37B
TRINITY_DN2208_c0_g1_i2.p1_Eve;TRINITY_DN2208_c0_g1_i6.p1_Eve;NODE_8340_length_3227_cov_273.505035_g5040_i0.p1_Eve;NODE_8591_length_3184_cov_547.370335_g5200_i0.p1_Eve;NODE_11267_length_2795_cov_73.612163_g5040_i1.p1_Eve;NODE_31354_length_1501_cov_56.196970_g19076_i0.p1_Ecy	COL26A1	PREDICTED: uncharacterized protein LOC108679227	COL26A1	COL26A1:1	PREDICTED: uncharacterized protein LOC108679227:6	Actinopterygii	Arthropoda	COL26A1	COL26A1
TRINITY_DN2212_c0_g1_i5.p1_Eve;TRINITY_DN3346_c0_g1_i1.p1_Ecy;NODE_21405_length_1971_cov_437.752341_g12768_i0.p1_Ecy;NODE_3685_length_4278_cov_140.052022_g2378_i0.p1_Gla	TBCB	PREDICTED: tubulin-folding cofactor B-like	TBCB	TBCB:4	PREDICTED: tubulin-folding cofactor B-like:3;CAP Gly-rich domain:1	Afrotheria	Arthropoda	TBCB	TBCB
TRINITY_DN2218_c0_g1_i14.p1_Eve	*	PREDICTED: prostaglandin reductase 1-like	PREDICTED: prostaglandin reductase 1-like		PREDICTED: prostaglandin reductase 1-like:1		Arthropoda	PTGR1	PTGR1
TRINITY_DN2218_c1_g1_i4.p1_Ecy	PPIB	PREDICTED: peptidyl-prolyl cis-trans isomerase-like	PPIB	PPIB:1	PREDICTED: peptidyl-prolyl cis-trans isomerase-like:1	Actinopterygii	Arthropoda	PPIB	PPIB
TRINITY_DN221886_c0_g1_i1.p1_Eve;TRINITY_DN135492_c0_g1_i2.p1_Gla;NODE_96351_length_792_cov_3.975774_g77195_i0.p1_Gla;NODE_45485_length_1117_cov_9.230337_g29074_i0.p1_Ecy	*	PREDICTED: angiopoietin-2-like	PREDICTED: angiopoietin-2-like		PREDICTED: angiopoietin-2-like:2;Fibrinogen alpha/beta/gamma chain C-terminal globular domain:2		Arthropoda	ANGPT2	ANGPT2
TRINITY_DN222_c4_g1_i3.p1_Eve;TRINITY_DN216_c24_g1_i2.p1_Ecy;TRINITY_DN6432_c1_g1_i5.p1_Gla;NODE_13431_length_2582_cov_124.958547_g3173_i2.p1_Gla	DPP3	PREDICTED: dipeptidyl peptidase 3-like isoform X2	DPP3	DPP3:1	PREDICTED: dipeptidyl peptidase 3-like isoform X2:2;PREDICTED: dipeptidyl peptidase 3-like isoform X1:1	Arthropoda	Arthropoda	DPP3	DPP3
TRINITY_DN22201_c0_g2_i2.p1_Eve	SEC31B	PREDICTED: protein transport protein Sec31A-like isoform X2	SEC31B	SEC31B:1	PREDICTED: protein transport protein Sec31A-like isoform X2:1	Cetartiodactyla	Arthropoda	SEC31B	SEC31B
TRINITY_DN22269_c0_g1_i1.p1_Ecy;TRINITY_DN62658_c0_g1_i8.p1_Gla	PSMC3	PREDICTED: 26S protease regulatory subunit 6A-B	PSMC3	PSMC3:1;Tbp-1:1	PREDICTED: 26S protease regulatory subunit 6A-B:2	Arthropoda	Arthropoda	PSMC3	PSMC3
TRINITY_DN2229_c0_g2_i2.p1_Eve	*	aminopeptidase N-like	aminopeptidase N-like		aminopeptidase N-like:1		Arthropoda	Anpep	Anpep
TRINITY_DN656_c0_g1_i11.p1_Eve;TRINITY_DN656_c0_g1_i6.p1_Eve;TRINITY_DN42185_c0_g1_i1.p1_Gla;TRINITY_DN224_c1_g1_i5.p1_Ecy;NODE_32208_length_1563_cov_55.245046_g3110_i2.p1_Eve	IFRD1	PREDICTED: interferon-related developmental regulator 1-like	IFRD1	IFRD1:1;IFRD2:1	PREDICTED: interferon-related developmental regulator 1-like:4;Interferon-related developmental regulator N-terminal:1	Actinopterygii;Insecta	Arthropoda	IFRD1	IFRD1
TRINITY_DN2242_c0_g1_i4.p1_Eve;NODE_19566_length_2091_cov_245.128306_g11613_i0.p1_Ecy;TRINITY_DN4655_c0_g1_i2.p1_Ecy;TRINITY_DN47319_c0_g1_i8.p1_Gla;TRINITY_DN484180_c0_g1_i1.p1_Gla	BCKDHA	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial-like	BCKDHA	BCKDHA:1	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial-like:3;Dehydrogenase E1 component:1;PREDICTED: 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial-like isoform X2:1	Arthropoda	Arthropoda;Priapulida	BCKDHA	BCKDHA
TRINITY_DN30708_c0_g1_i7.p1_Eve;TRINITY_DN2252_c1_g1_i1.p1_Ecy;TRINITY_DN3602_c0_g1_i2.p1_Gla;NODE_17391_length_2292_cov_664.215782_g11927_i0.p1_Gla;TRINITY_DN38443_c0_g8_i1.p1_Gla;NODE_38711_length_1506_cov_52.454358_g28161_i0.p1_Gla;TRINITY_DN193143_c0_g1_i1.p1_Ecy	PSMC1	26S proteasome regulatory subunit 4	PSMC1	PSMC1:2	26S proteasome regulatory subunit 4:3;26S proteasome regulatory subunit P45-like:1;26S protease regulatory subunit 4:2	Chordata;Paraneoptera	Rotifera;Arthropoda	PSMC1	PSMC1
TRINITY_DN2259_c0_g1_i9.p1_Eve;TRINITY_DN2259_c0_g1_i3.p1_Eve;NODE_20248_length_2056_cov_118.722471_g12825_i0.p1_Eve;TRINITY_DN7358_c0_g1_i1.p1_Ecy;NODE_26442_length_1703_cov_135.186820_g15872_i0.p1_Ecy	PPIE	PREDICTED: uncharacterized protein LOC108673908, partial	PPIE	PPIE:2;TRPT1:2	PREDICTED: uncharacterized protein LOC108673908, partial:5	Bilateria;Opisthokonta	Arthropoda	PPIE	PPIE
TRINITY_DN2263_c9_g1_i2.p2_Ecy	UBE2G1	PREDICTED: ubiquitin-conjugating enzyme E2 G1-like	UBE2G1	UBE2G1:1	PREDICTED: ubiquitin-conjugating enzyme E2 G1-like:1	Lepidoptera	Arthropoda	UBE2G1	UBE2G1
TRINITY_DN22687_c0_g1_i4.p1_Eve	shi	PREDICTED: dynamin-like isoform X1	shi	shi:1	PREDICTED: dynamin-like isoform X1:1	Hymenoptera	Arthropoda	shi	shi
TRINITY_DN3583_c0_g1_i2.p1_Eve;TRINITY_DN22727_c0_g1_i1.p1_Ecy;NODE_25684_length_1891_cov_12.345820_g18115_i0.p1_Gla;NODE_39952_length_1240_cov_151.643997_g1312_i6.p1_Ecy;TRINITY_DN32924_c0_g1_i1.p1_Gla	GMPPB	PREDICTED: mannose-1-phosphate guanyltransferase beta-like	GMPPB	GMPPB:2;tag-335:1	PREDICTED: mannose-1-phosphate guanyltransferase beta-like:4;mannose-1-phosphate guanyltransferase beta-B-like:1	Bilateria;Chordata;Lepidoptera	Arthropoda;Cnidaria	GMPPB	GMPPB
TRINITY_DN2289_c0_g1_i1.p1_Eve;TRINITY_DN2289_c0_g1_i5.p1_Eve;NODE_29835_length_1558_cov_715.131875_g18095_i0.p1_Ecy;TRINITY_DN61427_c0_g2_i3.p1_Gla	Clc	PREDICTED: clathrin light chain-like isoform X3	Clc	Clc:4	PREDICTED: clathrin light chain-like isoform X3:2;Clathrin light chain:1;PREDICTED: clathrin light chain-like isoform X1:1	Arthropoda	Arthropoda	Clc	Clc
TRINITY_DN49849_c0_g1_i3.p1_Ecy;TRINITY_DN22934_c0_g1_i1.p1_Eve;NODE_42495_length_1426_cov_53.564270_g108_i1.p1_Gla;TRINITY_DN49849_c0_g2_i2.p1_Ecy;TRINITY_DN22934_c0_g1_i2.p1_Eve;NODE_3814_length_4476_cov_167.723967_g1976_i3.p1_Eve;NODE_3950_length_4567_cov_273.966578_g2169_i1.p1_Ecy;NODE_3628_length_4560_cov_162.625804_g1976_i2.p1_Eve;TRINITY_DN1206_c0_g1_i10.p1_Gla;NODE_152_length_9488_cov_147.608009_g108_i0.p1_Gla	ACSL3	PREDICTED: long-chain-fatty-acid--CoA ligase 4-like isoform X2	ACSL3	ACSL3:2	PREDICTED: long-chain-fatty-acid--CoA ligase 4-like isoform X1:2;PREDICTED: long-chain-fatty-acid--CoA ligase 4-like isoform X2:4;AMP-dependent synthetase/ligase:4	Diptera;Hymenoptera	Arthropoda	ACSL3	ACSL3
TRINITY_DN22936_c0_g3_i1.p1_Eve;TRINITY_DN2720_c1_g1_i1.p1_Ecy;TRINITY_DN5935_c0_g1_i1.p1_Gla	PSMB1	PREDICTED: proteasome subunit beta type-1-like	PSMB1	PSMB1:1	PREDICTED: proteasome subunit beta type-1-like:3	Insecta	Arthropoda	PSMB1	PSMB1
TRINITY_DN4523_c0_g1_i26.p1_Eve;TRINITY_DN2302_c0_g1_i20.p2_Ecy;NODE_10550_length_2874_cov_55.939115_g3463_i5.p1_Gla;TRINITY_DN399_c0_g1_i11.p1_Gla	Adk3	PREDICTED: GTP:AMP phosphotransferase AK3, mitochondrial-like	Adk3	Adk3:2;AK3:2	PREDICTED: GTP:AMP phosphotransferase AK3, mitochondrial-like:3;Adenylate kinase 3/4 mitochondrial:1	Vertebrata;Paraneoptera	Arthropoda	Adk3	Adk3
TRINITY_DN232_c0_g1_i14.p1_Ecy	*	PREDICTED: tubulin beta chain-like isoform X2	PREDICTED: tubulin beta chain-like isoform X2		PREDICTED: tubulin beta chain-like isoform X2:1		Arthropoda	TUBB	TUBB
TRINITY_DN2320_c0_g1_i6.p1_Eve	GstO1	PREDICTED: glutathione S-transferase omega-1-like isoform X2	GstO1	GstO1:1	PREDICTED: glutathione S-transferase omega-1-like isoform X2:1	Arthropoda	Arthropoda	GstO1	GstO1
TRINITY_DN2330_c0_g1_i17.p1_Ecy;TRINITY_DN2330_c0_g1_i7.p1_Ecy;TRINITY_DN13653_c0_g1_i3.p1_Gla;TRINITY_DN13653_c0_g1_i10.p1_Gla	*	myophilin-like isoform X2	myophilin-like isoform X2		myophilin-like isoform X2:4		Arthropoda	*	myophilin-like isoform X2
TRINITY_DN2339_c0_g1_i12.p1_Ecy;NODE_5642_length_3975_cov_90.912888_g3316_i0.p1_Ecy;NODE_16465_length_2320_cov_40.813738_g3316_i2.p1_Ecy;TRINITY_DN14147_c0_g1_i8.p1_Gla;TRINITY_DN14147_c0_g1_i2.p1_Gla;NODE_11453_length_2773_cov_50.466593_g7666_i0.p1_Gla;TRINITY_DN109694_c0_g1_i7.p1_Eve	NAGLU	PREDICTED: alpha-N-acetylglucosaminidase-like	NAGLU	NAGLU:1	PREDICTED: alpha-N-acetylglucosaminidase-like:7	Insecta	Arthropoda	NAGLU	NAGLU
TRINITY_DN2339_c1_g1_i52.p1_Eve;NODE_66_length_11277_cov_121.997061_g46_i0.p1_Eve;NODE_112_length_11197_cov_157.253319_g73_i0.p1_Ecy;TRINITY_DN11093_c0_g2_i2.p1_Gla;NODE_849_length_6571_cov_36.054584_g539_i2.p1_Gla;NODE_826_length_6625_cov_37.516880_g539_i1.p1_Gla;NODE_810_length_6652_cov_36.620324_g539_i0.p1_Gla	*	PREDICTED: uncharacterized protein LOC108675758	PREDICTED: uncharacterized protein LOC108675758		PREDICTED: uncharacterized protein LOC108675758:7		Arthropoda	*	PREDICTED: uncharacterized protein LOC108675758
TRINITY_DN2344_c0_g1_i7.p1_Eve	*	PREDICTED: FK506-binding protein 2-like	PREDICTED: FK506-binding protein 2-like		PREDICTED: FK506-binding protein 2-like:1		Arthropoda	*	PREDICTED: FK506-binding protein 2-like
TRINITY_DN2356_c0_g1_i4.p1_Ecy;TRINITY_DN2750_c12_g1_i1.p1_Eve;TRINITY_DN10048_c0_g1_i1.p1_Gla	Dbp80	PREDICTED: ATP-dependent RNA helicase DDX19A-like	Dbp80	DDX25:1;Dbp80:2	PREDICTED: ATP-dependent RNA helicase DDX19A-like:3	Nematocera;Hymenoptera;Insecta	Arthropoda	Dbp80	Dbp80
TRINITY_DN236726_c1_g2_i1.p1_Eve;TRINITY_DN98502_c0_g1_i1.p1_Ecy;TRINITY_DN13889_c0_g2_i1.p1_Gla;TRINITY_DN417729_c0_g1_i1.p1_Ecy;NODE_25208_length_1908_cov_56.453470_g17763_i0.p1_Gla	CCT6A	PREDICTED: T-complex protein 1 subunit zeta-like	CCT6A	CCT6A:2	PREDICTED: T-complex protein 1 subunit zeta-like:3;T-complex protein 1 subunit zeta:1;chaperonin:1	Bilateria;Arthropoda	Arthropoda	CCT6A	CCT6A
TRINITY_DN2373_c0_g1_i2.p1_Ecy	BBOX1	PREDICTED: gamma-butyrobetaine dioxygenase-like	BBOX1	BBOX1:1	PREDICTED: gamma-butyrobetaine dioxygenase-like:1	Drosophilidae	Arthropoda	BBOX1	BBOX1
TRINITY_DN23893_c0_g1_i1.p1_Ecy;TRINITY_DN425858_c0_g1_i3.p1_Eve;TRINITY_DN68691_c0_g1_i14.p1_Gla	HPGDS	PREDICTED: probable glutathione S-transferase 7	HPGDS	HPGDS:1	PREDICTED: probable glutathione S-transferase 7:3	Arthropoda	Arthropoda	HPGDS	HPGDS
TRINITY_DN240163_c0_g1_i1.p1_Eve;TRINITY_DN90278_c0_g1_i2.p1_Ecy	hmgL	PREDICTED: hydroxymethylglutaryl-CoA lyase, mitochondrial-like	hmgL	hmgL:1	PREDICTED: hydroxymethylglutaryl-CoA lyase, mitochondrial-like:2	Oceanospirillales	Arthropoda	hmgL	hmgL
TRINITY_DN2408_c0_g1_i3.p1_Ecy;TRINITY_DN11740_c2_g1_i4.p1_Gla	ASNA1	ATPase ASNA1 homolog	ASNA1	ASNA1:1	ATPase ASNA1 homolog:2	Nematocera	Arthropoda	ASNA1	ASNA1
TRINITY_DN2410_c0_g1_i3.p1_Ecy;NODE_3354_length_4850_cov_1074.936680_g820_i2.p1_Ecy;TRINITY_DN7223_c0_g1_i1.p1_Gla;TRINITY_DN7223_c0_g1_i2.p1_Gla;NODE_33289_length_1641_cov_204.526382_g20239_i1.p1_Gla	HNRNPR	PREDICTED: heterogeneous nuclear ribonucleoprotein Q-like isoform X6	HNRNPR	HNRNPR:1	PREDICTED: heterogeneous nuclear ribonucleoprotein Q-like isoform X6:5	Hymenoptera	Arthropoda	HNRNPR	HNRNPR
TRINITY_DN264_c0_g1_i11.p1_Ecy;TRINITY_DN24146_c0_g1_i5.p1_Eve	UBFD1	PREDICTED: ubiquitin domain-containing protein UBFD1-like	UBFD1	UBFD1:1	PREDICTED: ubiquitin domain-containing protein UBFD1-like:2	Insecta	Arthropoda	UBFD1	UBFD1
TRINITY_DN242_c1_g1_i1.p1_Eve;TRINITY_DN7644_c0_g3_i1.p1_Ecy;TRINITY_DN75818_c0_g1_i4.p1_Gla	*	PREDICTED: adenosine kinase-like	PREDICTED: adenosine kinase-like		PREDICTED: adenosine kinase-like:3		Arthropoda	ADK	ADK
TRINITY_DN806_c0_g1_i1.p1_Ecy;TRINITY_DN2420_c0_g2_i1.p1_Eve;TRINITY_DN16406_c0_g2_i12.p1_Gla;NODE_24398_length_1940_cov_509.267054_g17154_i0.p1_Gla;TRINITY_DN45140_c0_g5_i1.p1_Eve;NODE_64762_length_1080_cov_16.474297_g49503_i0.p1_Gla;TRINITY_DN14152_c0_g2_i4.p1_Gla	SUCLG1	PREDICTED: succinyl-CoA ligase subunit alpha, mitochondrial-like	SUCLG1	SUCLG1:4	PREDICTED: succinyl-CoA ligase subunit alpha, mitochondrial-like:4;succinyl- ligase [ADP GDP-forming] subunit mitochondrial:2	Bilateria;Arthropoda;Metazoa;Vertebrata	Rotifera;Arthropoda	SUCLG1	SUCLG1
TRINITY_DN8538_c0_g1_i3.p1_Ecy;TRINITY_DN24206_c0_g1_i1.p1_Eve;TRINITY_DN12449_c0_g2_i1.p1_Gla;TRINITY_DN11130_c0_g2_i1.p1_Eve;TRINITY_DN443816_c0_g1_i1.p1_Gla;NODE_14412_length_2505_cov_13.072068_g8505_i0.p1_Ecy	PABPC4	PREDICTED: polyadenylate-binding protein 4-like	PABPC4	PABPC4:2;PABPC1:1	PREDICTED: polyadenylate-binding protein 4-like:3;PREDICTED: polyadenylate-binding protein 4 isoform X2:1;polyadenylate-binding protein 1:1	Bilateria;Actinopterygii;Testudines	Arthropoda;Chordata	PABPC4	PABPC4
TRINITY_DN6341_c0_g1_i1.p1_Ecy;TRINITY_DN24223_c0_g1_i1.p1_Eve	*	PREDICTED: uncharacterized protein LOC108671282 isoform X1	PREDICTED: uncharacterized protein LOC108671282 isoform X1		PREDICTED: uncharacterized protein LOC108671282 isoform X1:2		Arthropoda	*	PREDICTED: uncharacterized protein LOC108671282 isoform X1
TRINITY_DN7594_c0_g1_i14.p1_Ecy;TRINITY_DN2426_c1_g2_i1.p1_Eve;TRINITY_DN35636_c0_g1_i3.p1_Gla;NODE_20946_length_2097_cov_16.323730_g14541_i0.p1_Gla	NAMPT	nicotinamide phosphoribosyltransferase-like	NAMPT	NAMPT:4	nicotinamide phosphoribosyltransferase-like:4	Bilateria	Arthropoda	NAMPT	NAMPT
TRINITY_DN2427_c4_g1_i2.p1_Ecy;TRINITY_DN3761_c1_g1_i10.p1_Gla	ARHGDIA	PREDICTED: rho GDP-dissociation inhibitor 2-like isoform X1	ARHGDIA	ARHGDIA:1	PREDICTED: rho GDP-dissociation inhibitor 2-like isoform X1:2	Arthropoda	Arthropoda	ARHGDIA	ARHGDIA
TRINITY_DN2452_c0_g1_i2.p1_Ecy;NODE_9625_length_3116_cov_62.831431_g528_i2.p1_Ecy	GUSB	PREDICTED: beta-glucuronidase-like	GUSB	GUSB:1	PREDICTED: beta-glucuronidase-like:1;Glycoside hydrolase family 2 catalytic domain:1	Arthropoda	Arthropoda	GUSB	GUSB
TRINITY_DN2474_c2_g1_i1.p1_Ecy;NODE_68695_length_937_cov_13.298423_g50513_i0.p1_Eve;TRINITY_DN40291_c0_g1_i3.p1_Eve	ATP5B	PREDICTED: ATP synthase subunit beta, mitochondrial	ATP5B	ATP5B:3	PREDICTED: ATP synthase subunit beta, mitochondrial:1	Bilateria;Paraneoptera	Arthropoda	ATP5B	ATP5B
TRINITY_DN624620_c0_g1_i1.p1_Eve;TRINITY_DN2489_c0_g1_i7.p1_Ecy	GALE5	PREDICTED: galectin-4-like isoform X2	GALE5	GALE5:2	PREDICTED: galectin-4-like isoform X2:1;PREDICTED: translation initiation factor IF-2-like isoform X1:1	Insecta	Arthropoda	GALE5	GALE5
TRINITY_DN2509_c0_g1_i3.p1_Eve;TRINITY_DN5177_c0_g1_i7.p1_Ecy;TRINITY_DN2309_c1_g1_i3.p1_Gla;NODE_28948_length_1772_cov_1004.988973_g8389_i1.p1_Gla	*	hypothetical protein HAZT_HAZT001241	hypothetical protein HAZT_HAZT001241		hypothetical protein HAZT_HAZT001241:4		Arthropoda	*	hypothetical protein HAZT_HAZT001241
TRINITY_DN2521_c0_g1_i5.p1_Eve;NODE_2351_length_5457_cov_299.228920_g1195_i1.p1_Ecy;TRINITY_DN6092_c2_g1_i6.p1_Gla	*	2-oxoglutarate dehydrogenase, mitochondrial-like isoform X4	2-oxoglutarate dehydrogenase, mitochondrial-like isoform X4		2-oxoglutarate dehydrogenase, mitochondrial-like isoform X4:2;2-oxoglutarate dehydrogenase E1 component:1		Arthropoda	OGDH	OGDH
TRINITY_DN2523_c1_g1_i1.p1_Ecy;TRINITY_DN620969_c0_g1_i1.p1_Eve;TRINITY_DN21754_c0_g1_i1.p1_Gla	RTCB	LOW QUALITY PROTEIN: tRNA-splicing ligase RtcB homolog	RTCB	RTCB:1	LOW QUALITY PROTEIN: tRNA-splicing ligase RtcB homolog:3	Insecta	Arthropoda	RTCB	RTCB
TRINITY_DN72335_c0_g1_i1.p1_Gla;TRINITY_DN252849_c0_g1_i4.p1_Eve;NODE_121674_length_648_cov_19.721202_g100761_i0.p1_Gla	KPNA6	importin subunit alpha-7-like	KPNA6	KPNA6:3	importin subunit alpha-7-like:2;Importin subunit alpha-7:1	Bilateria;Chordata	N/A;Arthropoda	KPNA6	KPNA6
TRINITY_DN2530_c0_g1_i8.p1_Eve;TRINITY_DN2132_c0_g1_i6.p1_Gla;TRINITY_DN135649_c0_g1_i1.p1_Eve;NODE_11208_length_2801_cov_261.155160_g7498_i0.p1_Gla;TRINITY_DN118198_c0_g1_i1.p1_Gla;NODE_31757_length_1578_cov_6.192937_g20841_i0.p1_Eve;TRINITY_DN11121_c0_g1_i4.p1_Gla;NODE_13377_length_2587_cov_26.488574_g9037_i0.p1_Gla;NODE_109670_length_657_cov_2.560855_g87481_i0.p1_Eve;TRINITY_DN266825_c0_g1_i1.p1_Ecy	ACO2	aconitate hydratase-like protein	ACO2	ACO2:5	PREDICTED: aconitate hydratase, mitochondrial-like:2;aconitate hydratase-like protein:3;PREDICTED: probable aconitate hydratase, mitochondrial:1;unnamed protein product:1	Bilateria;Actinopterygii;Metazoa	Arthropoda;Nematoda	ACO2	ACO2
TRINITY_DN2532_c0_g1_i1.p1_Eve;NODE_17271_length_2244_cov_143.458770_g10826_i0.p1_Eve;NODE_33800_length_1518_cov_73.102791_g10826_i3.p1_Eve;TRINITY_DN10787_c0_g1_i2.p1_Gla;TRINITY_DN1196_c0_g1_i4.p1_Ecy;NODE_11863_length_2787_cov_714.437546_g6962_i0.p1_Ecy	IAH1	PREDICTED: isoamyl acetate-hydrolyzing esterase 1 homolog	IAH1	IAH1:6	PREDICTED: isoamyl acetate-hydrolyzing esterase 1 homolog:3;SGNH hydrolase-type esterase domain:3	Chordata	Arthropoda	IAH1	IAH1
TRINITY_DN253346_c0_g1_i2.p1_Eve	xdh	xanthine dehydrogenase/oxidase isoform X2	xdh	xdh:1	xanthine dehydrogenase/oxidase isoform X2:1	Vertebrata	Chordata	xdh	xdh
TRINITY_DN25345_c0_g1_i1.p1_Eve;NODE_16516_length_2316_cov_185.451257_g9756_i0.p1_Ecy;TRINITY_DN4041_c0_g1_i8.p1_Gla;NODE_20034_length_2141_cov_300.720841_g6107_i2.p1_Gla	*	PREDICTED: medium-chain specific acyl-CoA dehydrogenase, mitochondrial-like	PREDICTED: medium-chain specific acyl-CoA dehydrogenase, mitochondrial-like		PREDICTED: medium-chain specific acyl-CoA dehydrogenase, mitochondrial-like:3;Acyl-CoA oxidase/dehydrogenase central domain:1		Arthropoda	ACADM	ACADM
TRINITY_DN2536_c0_g1_i1.p1_Eve;TRINITY_DN8933_c0_g1_i6.p1_Ecy;NODE_12525_length_2654_cov_543.656046_g2869_i1.p1_Eve;NODE_3719_length_4264_cov_417.922894_g2403_i0.p1_Gla;TRINITY_DN2729_c0_g1_i7.p1_Gla	Hop	PREDICTED: stress-induced-phosphoprotein 1-like	Hop	Hop:4;STIP1:1	PREDICTED: stress-induced-phosphoprotein 1-like:3;Tetratricopeptide repeat 1:2	Hymenoptera	Arthropoda	Hop	Hop
TRINITY_DN255_c1_g1_i9.p1_Eve;TRINITY_DN2786_c0_g1_i5.p1_Ecy;NODE_5271_length_3774_cov_98.523490_g2310_i3.p1_Gla;NODE_28052_length_1630_cov_51.707780_g340_i2.p1_Ecy;NODE_21258_length_2003_cov_170.508188_g330_i2.p1_Eve	IVNS1ABP	Kelch repeat type 1	IVNS1ABP	IVNS1ABP:1	PREDICTED: influenza virus NS1A-binding protein homolog A-like:2;Kelch repeat type 1:3	Insecta	Arthropoda	IVNS1ABP	IVNS1ABP
TRINITY_DN25654_c1_g1_i2.p1_Ecy	GSTD6	PREDICTED: glutathione S-transferase D1-like	GSTD6	GSTD6:1	PREDICTED: glutathione S-transferase D1-like:1	Paraneoptera	Arthropoda	GSTD6	GSTD6
TRINITY_DN25880_c0_g1_i1.p1_Eve	*	hypothetical protein HELRODRAFT_185468	hypothetical protein HELRODRAFT_185468		hypothetical protein HELRODRAFT_185468:1		Annelida	*	hypothetical protein HELRODRAFT_185468
TRINITY_DN25894_c0_g2_i1.p1_Eve;TRINITY_DN132469_c1_g2_i4.p1_Ecy;NODE_7016_length_3382_cov_341.819382_g4620_i0.p1_Gla;TRINITY_DN25894_c0_g2_i2.p1_Eve;TRINITY_DN14521_c0_g1_i1.p1_Gla;NODE_38277_length_1283_cov_474.968395_g5201_i3.p1_Ecy;TRINITY_DN16574_c0_g1_i1.p1_Gla;TRINITY_DN12950_c0_g2_i1.p1_Gla;TRINITY_DN12950_c0_g2_i5.p1_Gla	me31B	PREDICTED: ATP-dependent RNA helicase cgh-1-like	me31B	me31B:7;DDX6:2	PREDICTED: ATP-dependent RNA helicase cgh-1-like:6;PREDICTED: putative ATP-dependent RNA helicase me31b:1;putative ATP-dependent RNA helicase me31b:1;ATP-dependent RNA helicase me31b:1	Bilateria;Insecta;Hymenoptera	Rotifera;Arthropoda;Mollusca	me31B	me31B
TRINITY_DN25900_c0_g1_i1.p1_Eve	*	PREDICTED: hemocyanin B chain-like	PREDICTED: hemocyanin B chain-like		PREDICTED: hemocyanin B chain-like:1		Arthropoda	HCB	HCB
TRINITY_DN25941_c0_g1_i2.p1_Ecy;TRINITY_DN29330_c1_g1_i4.p1_Eve;TRINITY_DN8377_c0_g2_i3.p1_Gla	PSMB7	PREDICTED: proteasome subunit beta type-7-like	PSMB7	PSMB7:2	PREDICTED: proteasome subunit beta type-7-like:3	Opisthokonta	Arthropoda	PSMB7	PSMB7
TRINITY_DN260532_c0_g1_i3.p2_Ecy;NODE_24854_length_1778_cov_3915.293233_g14916_i0.p1_Ecy;NODE_20591_length_2114_cov_3415.777724_g14270_i0.p1_Gla;TRINITY_DN34522_c0_g1_i7.p1_Gla;TRINITY_DN34522_c0_g1_i6.p1_Gla;NODE_64232_length_1086_cov_963.673095_g49050_i0.p1_Gla;TRINITY_DN41363_c0_g1_i1.p1_Eve	RpS3A	PREDICTED: 40S ribosomal protein S3a-like isoform X2	RpS3A	RPS3A:2;RpS3A:5	PREDICTED: 40S ribosomal protein S3a-like isoform X2:4;PREDICTED: 40S ribosomal protein S3a-like isoform X1:2	Bilateria;Insecta	Arthropoda	RpS3A	RpS3A
TRINITY_DN2619_c0_g1_i1.p1_Eve;TRINITY_DN11228_c0_g1_i1.p1_Gla	Unc-89	obscurin-like	Unc-89	Unc-89:2	obscurin-like:2	Hymenoptera	Arthropoda	Unc-89	Unc-89
